RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394816,87,"Madison, WI",Msa,WI,307796,315144,324941,331939,334773,335472,335472,332288,327040,320077,316578,316578,321792,332288,344535,351532,354716,353877,352162,348978,344604,342820,341071,341036,342785,348943,357690,364688,368852,371861,371861,368537,360314,355611,352453,354669,356913,360229,361382,363048,367182,369900
394766,88,"Lakeland, FL",Msa,FL,229310,229688,231353,234787,236504,236933,237103,237068,235660,233740,231714,231370,231370,231679,231714,233121,236195,238835,240501,240037,239397,238075,237182,236864,236864,238615,240506,241532,241327,241222,243625,246307,249703,251644,252855,254800,256785,259137,263732,274066,287298,299633
394931,89,"Ogden, UT",Msa,UT,342692,351356,365274,377034,383993,387090,387507,384759,379887,373972,371537,373277,380792,389143,397528,404661,408141,405009,399158,394287,388024,378183,370876,370176,379258,390239,398941,400298,405253,415848,431540,438534,441822,442945,449616,457441,,,,,,
394528,90,"Daytona Beach, FL",Msa,FL,269567,270300,271833,274833,279500,284333,287633,287267,284233,280600,277267,275300,274600,274633,276633,281167,286000,289000,287800,284600,280930,278297,277597,278100,278767,281167,283667,283967,282300,281600,284800,287800,290128,290413,292079,291751,293300,296967,303633,313838,322171,333349
394531,91,"Des Moines, IA",Msa,IA,280767,284433,289767,295300,298433,299633,298967,295633,292300,289767,288133,284967,282993,283809,287109,290083,290900,290900,287933,282967,276333,268550,263517,259753,261037,264370,269767,273266,276600,279963,282797,282363,279287,274953,272053,270800,272300,275667,281633,290030,300030,309230
394711,92,"Jackson, MS",Msa,MS,233105,233074,233358,236512,239667,242854,242854,241276,236859,232127,228972,227048,227048,228657,231686,237711,242412,246986,246986,246702,244462,243832,242570,245093,247302,250125,250788,252649,258501,267334,278692,285632,288534,288664,288935,287966,284333,281300,277300,277467,280500,280133
394352,94,"Augusta, GA",Msa,GA,221022,223040,226373,229918,232933,234600,233133,229800,226467,224933,223267,222067,221067,221067,223933,229633,235967,237633,237423,236390,236757,235600,233767,231767,230317,231817,234817,239633,244667,249833,251767,255067,258533,261567,258233,253233,250567,253193,258060,265760,275167,281967
394666,96,"Harrisburg, PA",Msa,PA,207925,212567,221890,231213,241019,244696,244696,242764,242430,242021,235076,229504,226570,229170,231399,234741,239533,246961,254390,259590,259590,257696,256210,256173,255950,258958,264381,270176,274261,278124,281616,281801,279424,278016,271978,266279,261533,266567,278240,289973,297973,289667
395006,100,"Provo, UT",Msa,UT,379946,386768,397324,402099,399009,392170,388760,388439,386039,382936,377820,375137,374830,378825,386324,391405,393661,392984,394723,396996,398357,396277,393483,392429,394510,400717,410608,414941,420057,425173,440669,455484,468351,474444,482479,488405,496443,498683,499933,509633,526300,544633
394602,159,"Fort Collins, CO",Msa,CO,431403,434345,437241,438618,441902,445585,444268,441201,434299,431048,427861,426235,424609,425659,428248,430524,434069,436325,435642,430781,425936,424342,425022,425095,429158,436300,447202,452861,454812,457820,462405,465656,461429,455901,452961,454425,,,,,,
